MUNICIPIO,CNAE,TOTAL
DUQUE DE CAXIAS,4751202,10
DUQUE DE CAXIAS,4751201,385
DUQUE DE CAXIAS,4744099,657
DUQUE DE CAXIAS,4744005,1
DUQUE DE CAXIAS,4744004,53
DUQUE DE CAXIAS,4744003,25
DUQUE DE CAXIAS,4744002,25
DUQUE DE CAXIAS,4744001,108
DUQUE DE CAXIAS,4743100,67
DUQUE DE CAXIAS,4742300,52
DUQUE DE CAXIAS,4741500,26
DUQUE DE CAXIAS,4732600,17
DUQUE DE CAXIAS,4729699,721
DUQUE DE CAXIAS,4729601,45
DUQUE DE CAXIAS,4724500,554
DUQUE DE CAXIAS,4723700,1589
DUQUE DE CAXIAS,4722902,78
DUQUE DE CAXIAS,4722901,267
DUQUE DE CAXIAS,4721104,129
DUQUE DE CAXIAS,4721103,325
DUQUE DE CAXIAS,4721102,342
DUQUE DE CAXIAS,4713002,249
DUQUE DE CAXIAS,4712100,1143
DUQUE DE CAXIAS,4687703,1
DUQUE DE CAXIAS,4669999,1
DUQUE DE CAXIAS,4639701,1
DUQUE DE CAXIAS,4543900,116
DUQUE DE CAXIAS,4541207,13
DUQUE DE CAXIAS,4541206,123
DUQUE DE CAXIAS,4530705,5
DUQUE DE CAXIAS,4530704,54
DUQUE DE CAXIAS,4530703,288
DUQUE DE CAXIAS,4520008,33
DUQUE DE CAXIAS,4520007,238
DUQUE DE CAXIAS,4520006,200
DUQUE DE CAXIAS,4520005,341
DUQUE DE CAXIAS,4520003,159
DUQUE DE CAXIAS,4520002,404
DUQUE DE CAXIAS,4520001,1029
DUQUE DE CAXIAS,4399199,25
DUQUE DE CAXIAS,4399105,14
DUQUE DE CAXIAS,4399103,3572
DUQUE DE CAXIAS,4330499,174
DUQUE DE CAXIAS,4330405,191
DUQUE DE CAXIAS,4330404,947
DUQUE DE CAXIAS,4330403,294
DUQUE DE CAXIAS,4330402,46
DUQUE DE CAXIAS,4329105,26
DUQUE DE CAXIAS,4329104,28
DUQUE DE CAXIAS,4329103,16
DUQUE DE CAXIAS,4329102,6
DUQUE DE CAXIAS,4329101,55
DUQUE DE CAXIAS,4322303,41
DUQUE DE CAXIAS,4322302,706
DUQUE DE CAXIAS,4322301,250
DUQUE DE CAXIAS,4321500,1449
DUQUE DE CAXIAS,4120400,1
DUQUE DE CAXIAS,3839499,67
DUQUE DE CAXIAS,3832700,87
DUQUE DE CAXIAS,3831999,41
DUQUE DE CAXIAS,3831901,49
DUQUE DE CAXIAS,3811400,68
DUQUE DE CAXIAS,3702900,4
DUQUE DE CAXIAS,3600602,14
DUQUE DE CAXIAS,3329501,242
DUQUE DE CAXIAS,3321000,196
DUQUE DE CAXIAS,3319800,19
DUQUE DE CAXIAS,3317102,8
DUQUE DE CAXIAS,3314799,20
DUQUE DE CAXIAS,3314720,18
DUQUE DE CAXIAS,3314719,22
DUQUE DE CAXIAS,3314712,3
DUQUE DE CAXIAS,3314711,6
DUQUE DE CAXIAS,3314710,34
DUQUE DE CAXIAS,3314709,1
DUQUE DE CAXIAS,3314707,296
DUQUE DE CAXIAS,3314706,11
DUQUE DE CAXIAS,3314702,43
DUQUE DE CAXIAS,3314701,7
DUQUE DE CAXIAS,3313999,40
DUQUE DE CAXIAS,3313902,2
DUQUE DE CAXIAS,3313901,43
DUQUE DE CAXIAS,3311200,34
DUQUE DE CAXIAS,3299099,588
DUQUE DE CAXIAS,3299006,13
DUQUE DE CAXIAS,3299005,9
DUQUE DE CAXIAS,3299004,12
DUQUE DE CAXIAS,3299003,30
DUQUE DE CAXIAS,3299002,4
DUQUE DE CAXIAS,3299001,1
DUQUE DE CAXIAS,3292202,1
DUQUE DE CAXIAS,3291400,5
DUQUE DE CAXIAS,3240099,14
DUQUE DE CAXIAS,3230200,2
DUQUE DE CAXIAS,3220500,3
DUQUE DE CAXIAS,3212400,251
DUQUE DE CAXIAS,3211602,8
DUQUE DE CAXIAS,3211601,3
DUQUE DE CAXIAS,3104700,2
DUQUE DE CAXIAS,3103900,21
DUQUE DE CAXIAS,3102100,9
DUQUE DE CAXIAS,3101200,811
DUQUE DE CAXIAS,2950600,25
DUQUE DE CAXIAS,2740602,3
DUQUE DE CAXIAS,2599399,37
DUQUE DE CAXIAS,2599301,99
DUQUE DE CAXIAS,2543800,19
DUQUE DE CAXIAS,2542000,894
DUQUE DE CAXIAS,2541100,2
DUQUE DE CAXIAS,2539002,4
DUQUE DE CAXIAS,2539001,353
DUQUE DE CAXIAS,2532201,15
DUQUE DE CAXIAS,2512800,89
DUQUE DE CAXIAS,2449199,1
DUQUE DE CAXIAS,2399101,15
DUQUE DE CAXIAS,2391503,80
DUQUE DE CAXIAS,2391501,1
DUQUE DE CAXIAS,2349499,24
